2025-04-13 14:08:21,743 - DEBUG - Dokument 121: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,744 - DEBUG - Dokument 122: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,744 - DEBUG - Dokument 123: data=2025-04-02, datasp=2025-04-02, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,744 - DEBUG - Dokument 124: data=2025-04-02, datasp=2025-04-01, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,744 - DEBUG - Dokument 125: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,744 - DEBUG - Dokument 126: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,744 - DEBUG - Dokument 127: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,744 - DEBUG - Dokument 128: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,744 - DEBUG - Dokument 129: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,744 - DEBUG - Dokument 130: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,744 - DEBUG - Dokument 131: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,744 - DEBUG - Dokument 132: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,744 - DEBUG - Dokument 133: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,745 - DEBUG - Dokument 134: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
